Disease,Symptoms,Severity,Recommended_Treatment,Precautions,Description
Diabetes,"persistent frequent urination, slow healing wounds, persistent unexplained weight loss, excessive thirst, severe numbness in extremities",Severe,"Blood glucose monitoring, insulin or oral hypoglycemics, diet management, regular exercise, endocrinologist follow-up","Regular blood sugar monitoring, balanced diet, avoid sugary foods, regular exercise, foot care","Chronic condition affecting how the body processes blood sugar (glucose), Type 1 or Type 2."
Malaria,"nausea, mild vomiting, sweating, occasional jaundice, fatigue",Mild,"Antimalarial drugs (artemisinin-based combination therapy), supportive care, fluids, treat complications","Mosquito nets, insect repellent, antimalarial prophylaxis, avoid mosquito bites, eliminate standing water","Mosquito-borne infectious disease caused by Plasmodium parasites, life-threatening if untreated."
Hepatitis A,"fatigue, occasional clay-colored stools, abdominal pain, low-grade fever, occasional loss of appetite, dark urine",Mild,"Rest, hydration, avoid alcohol, nutritious diet, monitor liver function, supportive care only","Hepatitis A vaccination, safe food and water practices, hand hygiene, avoid contaminated shellfish","Viral liver infection spread through contaminated food/water, usually self-limiting with lifelong immunity."
Anxiety Disorder,"sleep disturbances, sweating, muscle tension, difficulty concentrating, restlessness, irritability",Moderate,"Cognitive behavioral therapy, SSRIs, benzodiazepines (short-term), relaxation techniques, mindfulness, regular exercise","Stress management, regular exercise, adequate sleep, limit caffeine and alcohol, breathing exercises, therapy","Mental health condition characterized by excessive and persistent worry, fear, and nervousness."
Depression,"loss of interest, appetite changes, sleep changes, feelings of worthlessness, mild fatigue",Mild,"Antidepressants (SSRIs, SNRIs), psychotherapy (CBT), lifestyle changes, support groups, emergency intervention if suicidal","Regular therapy, maintain social connections, exercise, sleep hygiene, avoid alcohol and drugs, monitor mood changes","Mood disorder causing persistent sadness and loss of interest, affecting daily functioning and quality of life."
Dengue,"extreme severe headache, nausea, bleeding",Severe,"Supportive care, acetaminophen, hydration, avoid NSAIDs, hospitalization if severe dengue","Avoid mosquito bites, use repellents, wear protective clothing, remove standing water, screen windows","Mosquito-borne viral infection causing fever and severe joint/muscle pain, can develop into severe dengue."
Urinary Tract Infection,"cloudy urine, burning during urination, fever, lower back pain, pelvic pain, frequent urination, blood in urine",Moderate,"Antibiotics (nitrofurantoin, trimethoprim), increased water intake, cranberry juice, phenazopyridine for pain","Drink plenty of water, urinate after intercourse, wipe front to back, avoid irritating feminine products, cotton underwear","Infection in any part of the urinary system, more common in women, usually bacterial."
Malaria,"chills, nausea, intense sweating, jaundice",Severe,"Antimalarial drugs (artemisinin-based combination therapy), supportive care, fluids, treat complications","Mosquito nets, insect repellent, antimalarial prophylaxis, avoid mosquito bites, eliminate standing water","Mosquito-borne infectious disease caused by Plasmodium parasites, life-threatening if untreated."
Hyperthyroidism,"heat sensitivity, irritability, diarrhea",Moderate,"Antithyroid medications (methimazole), radioactive iodine, beta-blockers, thyroidectomy if necessary","Regular thyroid monitoring, avoid excess iodine, stress management, balanced diet, avoid stimulants","Overactive thyroid gland producing excessive thyroid hormones, accelerating metabolism."
COVID-19,"worsening loss of taste, fatigue, sore throat, persistent dry cough",Severe,"Rest, isolation, monitoring oxygen levels, supportive care, seek medical attention if breathing difficulty","Vaccination, mask wearing, social distancing, hand hygiene, avoid crowded indoor spaces","Coronavirus disease caused by SARS-CoV-2, ranging from mild to severe respiratory illness."
Pneumonia,"rapid breathing, worsening productive cough, severe confusion",Severe,"Antibiotics (if bacterial), oxygen therapy, rest, fluids, chest physiotherapy, hospitalization if severe","Pneumococcal vaccination, flu vaccination, hand hygiene, avoid smoking, strengthen immune system","Infection causing inflammation in the air sacs of the lungs, which may fill with fluid or pus."
Urinary Tract Infection,"pelvic pain, fever, blood in urine",Moderate,"Antibiotics (nitrofurantoin, trimethoprim), increased water intake, cranberry juice, phenazopyridine for pain","Drink plenty of water, urinate after intercourse, wipe front to back, avoid irritating feminine products, cotton underwear","Infection in any part of the urinary system, more common in women, usually bacterial."
Depression,"sleep changes, occasional fatigue, feelings of worthlessness, difficulty concentrating",Mild,"Antidepressants (SSRIs, SNRIs), psychotherapy (CBT), lifestyle changes, support groups, emergency intervention if suicidal","Regular therapy, maintain social connections, exercise, sleep hygiene, avoid alcohol and drugs, monitor mood changes","Mood disorder causing persistent sadness and loss of interest, affecting daily functioning and quality of life."
Hepatitis B,"loss of appetite, fever, abdominal pain, fatigue",Moderate,"Antiviral medications (tenofovir, entecavir), regular monitoring, liver function tests, consider liver transplant if cirrhosis","Hepatitis B vaccination, safe sex practices, avoid sharing needles, screen blood products, regular liver checks","Viral liver infection transmitted through blood and bodily fluids, can become chronic and lead to cirrhosis."
Malaria,"high fever, jaundice, muscle pain, headache, sweating, nausea",Severe,"Antimalarial drugs (artemisinin-based combination therapy), supportive care, fluids, treat complications","Mosquito nets, insect repellent, antimalarial prophylaxis, avoid mosquito bites, eliminate standing water","Mosquito-borne infectious disease caused by Plasmodium parasites, life-threatening if untreated."
Diabetes,"frequent urination, excessive thirst, worsening unexplained weight loss",Severe,"Blood glucose monitoring, insulin or oral hypoglycemics, diet management, regular exercise, endocrinologist follow-up","Regular blood sugar monitoring, balanced diet, avoid sugary foods, regular exercise, foot care","Chronic condition affecting how the body processes blood sugar (glucose), Type 1 or Type 2."
Anemia,"chest pain, cold hands and feet, pale skin, dizziness",Moderate,"Iron supplements, vitamin B12 or folate, treat underlying cause, blood transfusion if severe, dietary changes","Iron-rich diet (red meat, leafy greens), vitamin C with iron meals, regular blood tests, treat underlying causes","Condition with insufficient healthy red blood cells or hemoglobin, leading to reduced oxygen delivery."
Hepatitis A,"loss of appetite, vomiting, jaundice, fatigue, dark urine",Moderate,"Rest, hydration, avoid alcohol, nutritious diet, monitor liver function, supportive care only","Hepatitis A vaccination, safe food and water practices, hand hygiene, avoid contaminated shellfish","Viral liver infection spread through contaminated food/water, usually self-limiting with lifelong immunity."
COVID-19,"fatigue, dry cough, fever, sore throat",Moderate,"Rest, isolation, monitoring oxygen levels, supportive care, seek medical attention if breathing difficulty","Vaccination, mask wearing, social distancing, hand hygiene, avoid crowded indoor spaces","Coronavirus disease caused by SARS-CoV-2, ranging from mild to severe respiratory illness."
Jaundice,"severe dark urine, worsening fever, yellow skin, yellow eyes, severe pale stools, persistent weight loss, abdominal pain",Severe,"Treat underlying cause, phototherapy for newborns, medications, liver transplant if severe liver failure","Hepatitis vaccination, avoid alcohol, maintain healthy weight, avoid hepatotoxic medications, regular liver tests","Yellow discoloration of skin and eyes caused by high bilirubin levels, a symptom of underlying liver or blood disorder."
Kidney Stones,"extreme fever, extreme severe flank pain, vomiting, severe nausea, severe burning urination, extreme pain radiating to groin",Severe,"Pain relievers (NSAIDs), alpha-blockers (tamsulosin), increased fluids, lithotripsy if large, surgical removal if stuck","Drink 2-3 liters water daily, reduce sodium and oxalate intake, maintain healthy weight, limit protein","Hard mineral and salt deposits forming in kidneys, causing severe pain when passing through urinary tract."
Hypertension,"chest pain, persistent shortness of breath, dizziness, vision problems, worsening headache, worsening nosebleeds",Severe,"ACE inhibitors, ARBs, calcium channel blockers, lifestyle changes, regular BP monitoring, reduce salt intake","Low sodium diet, regular exercise, weight management, limit alcohol, stress management, regular checkups",High blood pressure that can lead to severe health complications if not managed properly.
Appendicitis,"vomiting, nausea, severe abdominal pain (lower right)",Moderate,"Emergency appendectomy (surgical removal), IV antibiotics, pain management, nil per os until surgery","Seek immediate medical attention if sudden severe abdominal pain, do not delay, no home remedies","Inflammation of the appendix, a medical emergency requiring prompt surgical removal."
